               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,             0.03181,            0.029886,          0.00084168,             0.70165,             0.69008,             0.64232,             0.27332,            0.047394,            0.017395,           0.0014168,            0.006436,            0.006436,            0.006436
                 110,            0.031824,            0.029273,          0.00080147,             0.72279,             0.66979,              0.6351,             0.27301,            0.047974,             0.01754,           0.0016074,            0.006403,            0.006403,            0.006403
                 111,            0.031887,             0.02931,          0.00092049,             0.72993,             0.65826,             0.63571,             0.26163,            0.048801,            0.017814,           0.0012957,             0.00637,             0.00637,             0.00637
                 112,            0.031551,            0.029616,          0.00082463,             0.72682,              0.6755,              0.6387,             0.26014,            0.049426,            0.017591,           0.0014699,            0.006337,            0.006337,            0.006337
                 113,            0.031237,            0.029767,          0.00077825,             0.73425,             0.68391,             0.64556,             0.26037,            0.049044,            0.017934,           0.0013748,            0.006304,            0.006304,            0.006304
                 114,            0.031279,            0.029185,          0.00084868,             0.73748,              0.6821,             0.63868,             0.26793,            0.048911,            0.018133,           0.0015459,            0.006271,            0.006271,            0.006271
                 115,            0.031427,            0.028869,          0.00084279,             0.72251,             0.67954,             0.64368,             0.27426,            0.048117,            0.017806,           0.0014354,            0.006238,            0.006238,            0.006238
                 116,            0.031177,            0.028768,          0.00086299,             0.72023,             0.67635,             0.63036,             0.26824,            0.048811,            0.017961,            0.001508,            0.006205,            0.006205,            0.006205
                 117,            0.031131,             0.02898,          0.00083919,             0.75378,             0.69242,             0.65474,             0.27536,            0.048157,            0.017902,           0.0014762,            0.006172,            0.006172,            0.006172
                 118,            0.031089,            0.029181,          0.00086223,             0.73069,             0.67358,             0.63374,             0.26597,            0.048599,            0.018044,           0.0013988,            0.006139,            0.006139,            0.006139
                 119,            0.030871,            0.028653,          0.00084394,             0.73569,             0.66426,             0.63492,             0.26989,            0.048542,            0.018237,            0.001398,            0.006106,            0.006106,            0.006106
                 120,            0.030921,            0.028969,          0.00084112,             0.70681,             0.68721,             0.62661,             0.26559,             0.04823,            0.017827,           0.0014484,            0.006073,            0.006073,            0.006073
                 121,            0.030874,            0.029322,          0.00083131,             0.70616,             0.66698,             0.62033,             0.26112,            0.048553,            0.017896,           0.0014732,             0.00604,             0.00604,             0.00604
                 122,            0.030692,            0.028738,           0.0007792,             0.74677,             0.66852,             0.62582,             0.26738,            0.048375,            0.018171,           0.0015962,            0.006007,            0.006007,            0.006007
                 123,            0.030745,            0.029128,          0.00081542,             0.74582,             0.68971,             0.64367,             0.27033,            0.048823,            0.018341,           0.0015002,            0.005974,            0.005974,            0.005974
                 124,            0.030456,            0.029001,          0.00084098,             0.73252,             0.68859,              0.6486,             0.26783,            0.048769,            0.018484,           0.0014704,            0.005941,            0.005941,            0.005941
